PollutantCode,Formula,Description,Unit,UnitPrecision,NAPSCategory1,NAPSCategory2,NAPSCategory3
71-43-2,,BENZENE,µg/m3,,ORGANIC,VOC,C3 ALKANES+BENZENE
71-55-6,,1;1;1-TRICHLOROETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
74-83-9,,BROMOMETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
74-84-0,,ETHANE,µg/m3,,ORGANIC,VOC,NON-REACTIVE
74-85-1,,ETHYLENE,µg/m3,,ORGANIC,VOC,ETHYLENE
74-86-2,,ACETYLENE,µg/m3,,ORGANIC,VOC,NON-REACTIVE
74-87-3,,CHLOROMETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
74-95-3,,DIBROMOMETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
74-96-4,,ETHYLBROMIDE,µg/m3,,ORGANIC,VOC,CHLORINATED
74-97-5,,BROMOCHLOROMETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
74-98-6,,PROPANE,µg/m3,,ORGANIC,VOC,C3 ALKANES+BENZENE
74-99-7,,1-PROPYNE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
75-00-3,,CHLOROETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
75-01-4,,VINYLCHLORIDE,µg/m3,,ORGANIC,VOC,CHLORINATED
75-07-0,,ACETALDEHYDE,µg/m3,,ORGANIC,VOC,ACETALDEHYDE
75-09-2,,DICHLOROMETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
75-25-2,,BROMOFORM,µg/m3,,ORGANIC,VOC,CHLORINATED
75-27-4,,BROMODICHLOROMETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
75-28-5,,ISOBUTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
75-34-3,,1;1-DICHLOROETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
75-35-4,,1;1-DICHLOROETHYLENE,µg/m3,,ORGANIC,VOC,CHLORINATED
75-45-6,,FREON22,µg/m3,,ORGANIC,VOC,CHLORINATED
75-62-7,,BROMOTRICHLOROMETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
75-69-4,,FREON11,µg/m3,,ORGANIC,VOC,CHLORINATED
75-71-8,,FREON12,µg/m3,,ORGANIC,VOC,CHLORINATED
75-83-2,,2;2-DIMETHYLBUTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
760-20-3,,3-METHYL-1-PENTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
760-21-4,,2-ETHYL-1-BUTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
76-14-2,,FREON114,µg/m3,,ORGANIC,VOC,CHLORINATED
763-29-1,,2-METHYL-1-PENTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
7642-04-8,,CIS-2-OCTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
7642-10-6,,CIS-3-HEPTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
7688-21-3,,CIS-2-HEXENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
78-78-4,,ISOPENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
78-79-5,,ISOPRENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
78-87-5,,1;2-DICHLOROPROPANE,µg/m3,,ORGANIC,VOC,CHLORINATED
78-93-3,,METHYL ETHYL KETONE,µg/m3,,ORGANIC,VOC,KETONES
79-00-5,,1;1;2-TRICHLOROETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
79-01-6,,TRICHLOROETHYLENE,µg/m3,,ORGANIC,VOC,CHLORINATED
79-29-8,,2;3-DIMETHYLBUTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
79-34-5,,1;1;2;2-TETRACHLOROETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
80-56-8,,ALPHA-PINENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
872-05-9,,1-DECENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
87-68-3,,HEXACHLOROBUTANE,µg/m3,,ORGANIC,VOC,CHLORINATED
91-20-3,,NAPHTHALENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
922-61-2,,CIS-3-METHYL-2-PENTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
95-47-6,,O-XYLENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
95-50-1,,1;2-DICHLOROBENZENE,µg/m3,,ORGANIC,VOC,CHLORINATED
95-63-6,,1;2;4-TRIMETHYLBENZENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
96-14-0,,3-METHYLPENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
96-37-7,,METHYLCYCLOPENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
98-06-6,,TERT-BUTYLBENZENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
98-82-8,,ISO-PROPYLBENZENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
99-87-6,,P-CYMENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
